CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Greenmount East,0.577889447236,0.720411663808,0.119764273493,4.10112359551,7.73722627737,9.90686282828,8.92844757831,10.0
Hamilton,0.35175879397,0.789022298456,0.218934161333,4.7363872083,4.16058394161,7.30835496881,4.63819211652,1.91881918819
Harbor East/Little Italy,1.40703517588,4.45540308748,2.98365122616,1.89714779602,5.18248175182,4.42544670886,7.35839787308,4.16974169742
Harford/Echodale,0.552763819095,0.673241852487,0.276915277866,5.23336214347,4.89051094891,6.46464509341,5.847589874,1.9557195572
Highlandtown,0.854271356784,1.25214408233,0.335846904505,1.12359550562,5.69343065693,4.75969071174,3.57299734135,2.10332103321
Howard Park/West Arlington,0.276381909548,0.570325900515,0.367530574742,3.39239412273,4.74452554745,8.24322229953,7.25494162525,2.21402214022
Inner Harbor/Federal Hill,10.0,3.44339622642,1.62822381345,0.769230769231,3.28467153285,2.15039056976,1.87174893076,1.25461254613
Lauraville,0.35175879397,0.789022298456,0.154299474051,3.91097666379,4.59854014599,7.69912835915,4.37232689862,1.47601476015
Loch Raven,0.301507537688,0.463121783877,0.296559153412,5.85566119274,4.3795620438,7.66250926224,6.47584094324,2.58302583026
Madison/East End,0.477386934673,1.06775300172,0.094100500602,4.97839239412,9.12408759124,9.99030504601,8.47127499711,6.82656826568
Medfield/Hampden/Woodberry/Remington,1.93467336683,0.746140651801,1.20334579558,2.74848746759,4.45255474453,6.3486563382,5.38377066235,1.91881918819
Midtown,7.33668341709,2.50857632933,2.94531398517,1.00691443388,3.43065693431,4.80845961096,7.37949370015,3.54243542435
Midway/Coldstream,0.427135678392,0.926243567753,0.140675495849,4.82281763181,8.75912408759,9.95025821158,7.76210842677,5.23985239852
Morrell Park/Violetville,0.0,1.23499142367,1.032570813,2.10890233362,4.67153284672,8.56976237747,7.28961969714,2.0295202952
Mount Washington/Coldspring,1.85929648241,0.458833619211,0.28958874596,0.419187554019,2.40875912409,3.0030940139,3.00196509074,0.811808118081
North Baltimore/Guilford/Homeland,1.08040201005,0.351629502573,0.417907610418,0.678478824546,1.67883211679,0.0,2.889550341,0.553505535055
Northwood,0.778894472362,0.604631217839,0.328559660351,4.79688850475,4.08759124088,7.04134213459,5.4242284129,2.17712177122
Oldtown/Middle East,2.21105527638,2.22555746141,1.74165135289,4.10112359551,4.45255474453,8.73475759787,10.0,5.94095940959
Orangeville/East Highlandtown,1.00502512563,2.04974271012,1.37253659464,2.89974070873,6.49635036496,8.37547866714,7.0535198243,3.50553505535
Patterson Park North & East,1.03015075377,1.3936535163,0.12198213041,4.64563526361,6.78832116788,7.07000842794,5.49098370131,4.53874538745
Penn North/Reservoir Hill,0.653266331658,0.82332761578,0.143843862873,4.38634399309,6.71532846715,9.27048016607,7.88030285516,5.31365313653
Pimlico/Arlington/Hilltop,0.402010050251,0.587478559177,0.562701983398,5.52290406223,6.86131386861,9.82809274123,8.06149578083,4.46494464945
Poppleton/The Terraces/Hollins Market,0.527638190955,1.14493996569,0.110259172423,2.3941227312,9.19708029197,8.36950557997,9.4717373714,4.83394833948
Sandtown-Winchester/Harlem Park,0.35175879397,0.668953687822,0.173309676193,7.30337078652,7.29927007299,9.71473983698,9.05617847648,7.82287822878
South Baltimore,0.753768844221,0.257289879931,0.812052468158,0.103716508211,4.74452554745,3.02006301154,1.70009247486,1.47601476015
Southeastern,0.376884422111,1.23070325901,1.2061973259,1.73292999136,5.18248175182,7.76504725866,7.87192232112,3.06273062731
Southern Park Heights,0.175879396985,0.518867924528,0.165388758634,5.22039757995,7.66423357664,9.9091253613,8.82296844295,5.53505535055
Southwest Baltimore,0.35175879397,1.18353344768,0.485710664723,8.62143474503,7.73722627737,10.0,9.09201248411,8.41328413284
The Waverlies,0.527638190955,1.39794168096,0.230973956023,3.3102852204,4.89051094891,8.78215766461,7.87625708011,3.9852398524
Upton/Druid Heights,0.653266331658,1.03344768439,0.447373423737,5.25496974935,8.5401459854,9.56223379885,9.80320194197,8.74538745387
Washington Village/Pigtown,1.33165829146,2.20840480274,0.665040238261,1.77182368194,6.05839416058,8.71658945773,6.09120332909,2.91512915129
Westport/Mount Winans/Lakeland,0.276381909548,1.47084048027,0.357391800266,3.54364736387,5.76642335766,9.28789035765,6.90844989019,3.43173431734
