name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
Castalia,21210,Tuscany-Canterbury,14,NORTHERN,"200 Tuscany Road
Baltimore, MD
"
St. Stanislaus Kostka Church,21231,Fells Point,1,SOUTHEASTERN,"708 Ann St
Baltimore, MD
"
Four Bay House,21231,Fells Point,1,SOUTHEASTERN,"1733 Aliceanna St
Baltimore, MD
"
St. Mark’s Evangelical Lutheran Church,21218,Charles North,12,CENTRAL,"1920 Saint Paul Street
Baltimore, MD
"
Dr. Giering House,21206,Arcadia,3,NORTHEASTERN,"3906 Parkside Drive
Baltimore, MD
"
Harford Commons (William Fuld Company),21202,Oliver,12,EASTERN,"1508 Harford Road
Baltimore, MD
"
Melvin Cade Armory,21216,Bridgeview/Greenlawn,9,WESTERN,"2620 Winchester Street
Baltimore, MD
"
Nazarene Baptist Church,21202,Oliver,12,EASTERN,"1201 Harford Road
Baltimore, MD
"
Mount Calvary Church,21201,Seton Hill,11,CENTRAL,"816 Eutaw Street
Baltimore, MD
"
Saint Paul Community Baptist Church,21213,Broadway East,12,EASTERN,"1901 Federal St
Baltimore, MD
"
Raffel Building,21230,SBIC,10,SOUTHERN,"107 Heath Street
Baltimore, MD
"
Ann Wiggins Brown House,21217,Sandtown-Winchester,7,WESTERN,"1501 Presstman St
Baltimore, MD
"
Kresge Building,21201,Downtown,11,CENTRAL,"117 Lexington St
Baltimore, MD
"
Sellers Mansion,21217,Harlem Park,11,WESTERN,"801 Arlington Ave
Baltimore, MD
"
Latrobe Pavilion,21217,Druid Hill Park,7,NORTHERN,
Council Grove Pavilion,21217,Druid Hill Park,7,NORTHERN,
Conservatory,21217,Druid Hill Park,7,NORTHERN,
Chinese Pavilion,21217,Druid Hill Park,7,NORTHERN,
Archway over Madison St Entrance,21217,Reservoir Hill,7,NORTHERN,
Mansion House,21217,Druid Hill Park,7,NORTHERN,
Boat House,21217,Druid Hill Park,7,NORTHERN,
Chess & Checkers Pavilion,21217,Reservoir Hill,7,NORTHERN,
Octagonal Pavilion,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #1,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #2,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #4,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #5,21217,Druid Hill Park,7,NORTHERN,
Unnamed Pavilion #3,21217,Druid Hill Park,7,NORTHERN,
Christ Lutheran Church,21230,Otterbein,11,SOUTHERN,"701 Charles St
Baltimore, MD
"
President Street Station,21202,Inner Harbor,1,SOUTHEASTERN,"601 President St
Baltimore, MD
"
